item_kind,item_id,stratum,judge,judged_at,is_real_news_about_real_company,is_right_company,is_category_correct,precision_ok_for_source_floor,venture_band,baseline_fields_ok,resolution_verified,confidence_decile,registry_linkage_ok,fact_type_correct,amount_within_20pct_or_estimated,investors_real_and_attributed,date_within_14d,reject_reason_coherent,summary_fully_faithful,cluster_pure,cluster_split_missed,representative_best_tier,listgen_precision_at_limit,interpreted_filters_match_intent,notes
summary,art_01M0M4JYQZB5TZ0WZFF4P8S2TM,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M4KCX56QJX44GVNHWR942R,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M7SAEP47T79E58DD0XHPMB,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M7TSGN93C4B0HKJ12BZBTM,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M7VAXFTKK8YSBWB5D7GKZ2,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M7VV8X1KQDAW094SHE76WS,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M7WGTXASXRKEWNMZX4WE29,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M8DV2VF2WV5NBKB16ZT6RF,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M8EAKDVMW8M4DBN3T9MY5C,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M8FFTXPJAHGD0YY6ZKHP6T,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0NEMCA8MQ5X5P1PX64N3NER,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0NH66SE0BCS4EFZVZBZQF1H,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0NH67147SK8H2GM5J5C4NYS,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_3231EN0M100KZANWH8JRNJMDQ3,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_6731EN0M10RY4FAY8RP7G892GZ,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_9Y21EN0M10AGBVB4WEJSYB5QH7,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_D331EN0M10WBMFEQPY6PJ841NJ,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_H531EN0M10SN360YG2FZ9RX4ES,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_M131EN0M10S1RV0MS7W4CKKFMQ,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_Q231EN0M107P0PSAGNAMF2T026,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_T931EN0M10BB1W2HYQ6SDQKCHT,nw:high,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0KX399S8XN9TC5QEM4QD75W,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0KX3BASJZEPGBF4XZ52KAJT,size:3,,,,,,,,,,,,,,,,,,,,,,,
